time,wx,wy,wz,yaw,pitch,roll
2024-10-14T10:26:44.987Z,0.2857,-0.0185,0.0048,0.1387,0.6184,-0.0545
2024-10-14T10:26:44.991Z,0.0460,0.0524,0.0558,0.1387,0.6184,-0.0545
2024-10-14T10:26:45.001Z,-0.1000,0.0560,0.0431,0.1397,0.6191,-0.0542
2024-10-14T10:26:45.011Z,-0.1896,0.0479,0.0312,0.1402,0.6169,-0.0536
2024-10-14T10:26:45.021Z,-0.1987,-0.0175,0.0337,0.1402,0.6169,-0.0536
2024-10-14T10:26:45.031Z,-0.1305,-0.1281,0.0383,0.1406,0.6140,-0.0542
2024-10-14T10:26:45.041Z,-0.0106,-0.1920,0.0673,0.1415,0.6129,-0.0570
2024-10-14T10:26:45.051Z,0.1372,-0.1983,0.0928,0.1415,0.6129,-0.0570
2024-10-14T10:26:45.061Z,0.2689,-0.1619,0.0811,0.1433,0.6149,-0.0608
2024-10-14T10:26:45.071Z,0.3446,-0.1323,0.0608,0.1449,0.6195,-0.0639
2024-10-14T10:26:45.081Z,0.3536,-0.0734,0.0571,0.1449,0.6195,-0.0639
2024-10-14T10:26:45.091Z,0.2999,-0.0009,0.0534,0.1464,0.6246,-0.0658
2024-10-14T10:26:45.101Z,0.2022,0.0731,0.0262,0.1475,0.6284,-0.0658
2024-10-14T10:26:45.111Z,0.0730,0.1074,-0.0027,0.1475,0.6284,-0.0658
2024-10-14T10:26:45.121Z,-0.0553,0.1430,-0.0186,0.1475,0.6295,-0.0641
2024-10-14T10:26:45.131Z,-0.1590,0.1782,-0.0195,0.1471,0.6278,-0.0613
2024-10-14T10:26:45.141Z,-0.2215,0.1819,-0.0135,0.1471,0.6278,-0.0613
2024-10-14T10:26:45.152Z,-0.2393,0.1312,-0.0167,0.1465,0.6246,-0.0582
2024-10-14T10:26:45.161Z,-0.2113,0.0016,-0.0360,0.1458,0.6212,-0.0567
2024-10-14T10:26:45.171Z,-0.1614,-0.1071,-0.0321,0.1458,0.6212,-0.0567
2024-10-14T10:26:45.181Z,-0.1272,-0.1168,-0.0060,0.1451,0.6188,-0.0576
2024-10-14T10:26:45.191Z,-0.1111,-0.0625,0.0210,0.1451,0.6170,-0.0589
2024-10-14T10:26:45.201Z,-0.1033,0.0174,0.0177,0.1451,0.6170,-0.0589
2024-10-14T10:26:45.211Z,-0.0994,0.0882,-0.0050,0.1453,0.6155,-0.0587
2024-10-14T10:26:45.221Z,-0.0985,0.1510,-0.0202,0.1453,0.6155,-0.0587
2024-10-14T10:26:45.231Z,-0.1058,0.1438,-0.0335,0.1450,0.6141,-0.0567
2024-10-14T10:26:45.241Z,-0.1151,0.0388,-0.0494,0.1443,0.6125,-0.0542
2024-10-14T10:26:45.251Z,-0.1056,-0.0275,-0.0451,0.1433,0.6109,-0.0534
2024-10-14T10:26:45.261Z,-0.0637,-0.0264,-0.0290,0.1433,0.6109,-0.0534
2024-10-14T10:26:45.272Z,0.0049,-0.0244,-0.0300,0.1426,0.6100,-0.0533
2024-10-14T10:26:45.281Z,0.0529,-0.0446,-0.0292,0.1421,0.6105,-0.0534
2024-10-14T10:26:45.292Z,0.0675,-0.0290,0.0013,0.1421,0.6105,-0.0534
2024-10-14T10:26:45.302Z,0.0480,0.0411,0.0149,0.1421,0.6115,-0.0536
2024-10-14T10:26:45.312Z,0.0004,0.0778,0.0001,0.1423,0.6118,-0.0528
2024-10-14T10:26:45.322Z,-0.0446,0.0547,-0.0072,0.1423,0.6118,-0.0528
2024-10-14T10:26:45.331Z,-0.0643,0.0522,0.0000,0.1422,0.6112,-0.0518
2024-10-14T10:26:45.342Z,-0.0835,0.0792,0.0039,0.1421,0.6099,-0.0506
2024-10-14T10:26:45.351Z,-0.1063,0.0523,-0.0089,0.1421,0.6099,-0.0506
2024-10-14T10:26:45.361Z,-0.1171,-0.0078,-0.0085,0.1419,0.6083,-0.0496
2024-10-14T10:26:45.371Z,-0.1165,-0.0360,-0.0022,0.1419,0.6083,-0.0496
2024-10-14T10:26:45.381Z,-0.1051,-0.0600,-0.0006,0.1417,0.6065,-0.0497
2024-10-14T10:26:45.391Z,-0.0837,-0.0751,-0.0053,0.1416,0.6049,-0.0504
2024-10-14T10:26:45.402Z,-0.0757,-0.0664,-0.0172,0.1414,0.6037,-0.0514
2024-10-14T10:26:45.411Z,-0.0619,-0.0257,-0.0161,0.1414,0.6037,-0.0514
2024-10-14T10:26:45.424Z,-0.0619,-0.0257,-0.0161,0.1410,0.6029,-0.0516
2024-10-14T10:26:45.431Z,-0.0490,-0.0162,-0.0013,0.1408,0.6022,-0.0516
2024-10-14T10:26:45.441Z,-0.0382,-0.0348,0.0008,0.1408,0.6022,-0.0516
2024-10-14T10:26:45.451Z,-0.0375,-0.0295,-0.0013,0.1408,0.6016,-0.0519
2024-10-14T10:26:45.461Z,-0.0401,-0.0157,0.0042,0.1408,0.6010,-0.0522
2024-10-14T10:26:45.471Z,-0.0413,-0.0160,0.0091,0.1408,0.6010,-0.0522
2024-10-14T10:26:45.481Z,-0.0538,-0.0249,0.0012,0.1409,0.6003,-0.0524
2024-10-14T10:26:45.491Z,-0.0733,-0.0171,-0.0083,0.1408,0.5994,-0.0526
2024-10-14T10:26:45.501Z,-0.1090,0.0121,-0.0170,0.1408,0.5994,-0.0526
2024-10-14T10:26:45.511Z,-0.1447,0.0366,-0.0188,0.1404,0.5978,-0.0521
2024-10-14T10:26:45.522Z,-0.1854,0.0692,-0.0298,0.1398,0.5954,-0.0509
2024-10-14T10:26:45.531Z,-0.2252,0.0763,-0.0455,0.1398,0.5954,-0.0509
2024-10-14T10:26:45.542Z,-0.2558,0.0660,-0.0534,0.1388,0.5920,-0.0491
2024-10-14T10:26:45.551Z,-0.2641,0.0646,-0.0491,0.1376,0.5882,-0.0474
2024-10-14T10:26:45.562Z,-0.2492,0.0474,-0.0392,0.1376,0.5882,-0.0474
